,,,,,,,,
,,,,,,,,
,,,,,,,,
,30*1.5,40,10,100,100,,,
Reg ID,LT 01,LT 02,Presentation,Raw Total,Total,Grade,,
2021331038,19,20,,49,50,C+,,
2022331087,30,30,7,86,86,A+,,
2023331006,15,29,8,64,65,B+,,
2023331030,25,25,8,75,75,A,,
2023331038,30,25,8,82,82,A+,,
2023331055,18,21,7,59,60,B,,
2023331072,30,30,,75,75,A,,
2023331083,25,15,8,65,65,B+,,
2023331097,30,18,7,74,75,A,,
2023331105,,,7,11,11,F,,
2024331001,30,35,10,95,95,A+,,
2024331002,18,35,9,76,76,A,,
2024331003,17,21,8,59,60,B,,
2024331004,12,,8,30,30,F,,self dropped
2024331005,18,17,8,56,56,B-,,
2024331006,18,20,8,59,60,B,,
2024331007,20,25,10,70,70,A-,,
2024331008,30,27,8,84,84,A+,,
2024331009,16,10,8,46,46,C,,
2024331010,29,30,8,86,86,A+,,
2024331011,28,23,,65,65,B+,,
2024331012,12,25,8,55,55,B-,,
2024331013,16,40,10,79,80,A+,,
2024331014,30,33,8,90,90,A+,,
2024331015,26,15,10,69,70,A-,,
2024331016,22,32,8,77,77,A,25t2,
2024331017,,,,0,0,F,,
2024331018,,,,0,0,F,,
2024331019,,,,0,0,F,,
2024331020,20,17,9,61,61,B,,
2024331021,17,5,9,44,45,C,,
2024331022,22,27,9,74,75,A,,
2024331023,,,,0,0,F,,
2024331024,30,36,8,93,93,A+,,
2024331025,13.5,18,8,51,31,F,,self dropped
2024331026,30,34,8,91,91,A+,,
2024331027,24,40,8,88,88,A+,,
2024331028,22,35,10,83,83,A+,,
2024331029,18,15,8,54,55,B-,,
2024331030,27,42,8,95,95,A+,,
2024331031,16,33,10,72,72,A-,,
2024331032,27,22,8,75,75,A,,
2024331033,24,18,10,69,70,A-,,
2024331034,6,10,10,34,34,F,,self dropped
2024331035,24,28,8,76,76,A,,
2024331036,22,19,8,64,65,B+,,
2024331037,22,29,8,74,75,A,,
2024331038,20,37,9,81,81,A+,,
2024331039,10.5,22,9,52,52,C+,,
2024331040,30,40,10,100,100,A+,,
2024331041,12,,,18,18,F,,
2024331042,6,18,10,42,42,C-,,
2024331043,21,33,10,80,80,A+,,
2024331044,22,13,10,61,61,B,,
2024331045,,,,0,0,F,,
2024331046,30,15,10,75,75,A,,
2024331047,,16,8,28,28,F,,self dropped
2024331048,15,36,10,74,75,A,,
2024331049,,,,0,0,F,,
2024331050,,,,0,0,F,,
2024331051,,,,0,0,F,,
2024331052,19,32,9,74,75,A,,
2024331053,20,40,,70,70,A-,,
2024331054,21,40,8,84,84,A+,,
2024331055,16,23,8,59,60,B,,
2024331056,23,22,8,69,70,A-,,
2024331057,19,27,9,69,70,A-,,
2024331058,22,39,8,84,84,A+,,
2024331059,23,17,10,67,67,B+,,
2024331060,,,,0,0,F,,
2024331061,20,30,8,72,72,A-,,
2024331062,,,,0,0,F,,
2024331063,30,15,9,74,75,A,,
2024331064,12,15,8,45,45,C,,
2024331065,,,,0,0,F,,
2024331066,16,28,8,64,65,B+,,
2024331067,28,20,8,74,75,A,,
2024331068,30,39,9,98,98,A+,,
2024331069,15,25,8,60,60,B,,
2024331070,30,32,10,92,92,A+,,
2024331071,29,40,9,97,97,A+,,
2024331072,30,34,8,91,91,A+,,
2024331073,,,,0,0,F,,
2024331074,23,39,8,86,86,A+,,
2024331075,16,33,9,71,71,A-,,
2024331076,29,28,8,84,84,A+,,
2024331077,27,15,9,69,70,A-,,
2024331078,30,15,8,72,72,A-,,
2024331079,0,2,8,14,14,F,,
2024331080,30,39,9,98,98,A+,,
2024331081,16,31,9,69,70,A-,,
2024331082,30,37,10,97,97,A+,,
2024331083,,,,0,0,F,,
2024331084,30,34,8,91,91,A+,,
2024331085,,,,0,0,F,,
2024331086,30,31,8,88,88,A+,,
2024331087,30,40,9,99,99,A+,,
2024331088,27,37,9,91,91,A+,,
2024331089,,,,0,0,F,,
2024331090,26,30,8,81,81,A+,,
2024331091,21,10,10,57,17,F,,self dropped
2024331092,12,31,10,64,65,B+,,
2024331093,18,40,9,81,81,A+,,
2024331094,27,26,8,79,80,A+,,
2024331095,,,,0,0,F,,
2024331096,14,16,8,49,29,F,,self dropped
2024331097,,,,0,0,F,,
2024331098,,,,0,0,F,,
2024331099,,,,0,0,F,,
2024331100,17,25,9,64,65,B+,16t2,
2024331101,14,16,8,49,50,C+,,
2024331102,12,1,10,34,40,C-,,
2024331103,27,25,9,79,80,A+,,
2024331104,23,1,,36,40,C-,,
2024331105,15,25,9,61,61,B,,
2024331106,21,32,8,76,76,A,,
2024331107,18,30,8,69,70,A-,,
2024331108,30,35,8,92,92,A+,,
2024331109,18,22,10,64,65,B+,,
2024331110,,,10,15,15,F,,
2024331111,,,,0,0,F,,
2024331112,19,17,9,59,60,B,,
2024331113,27,40,10,96,96,A+,,
2024331114,12,,9,32,40,C-,,
2024331115,,,,0,0,F,,
2024331116,29,28,8,84,84,A+,,
count,,,,,Total A+,36,,
126,,,,,Total A,15,,
,,,,,Total A-,13,,
,,,,,Total B+,9,,
,,,,,Total B,9,,
,,,,,Total B-,3,,
,,,,,Total C+,3,,
,,,,,Total C,3,,
,,,,,Total C-,4,,
,,,,,Total F,31,,
,,,,,Total,126,,
